filename,full_path,username,root_path,activity,month,lingorm
EM_Gossip_1833055970358141022_2024-09-09 08-12_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/EM_Gossip_1833055970358141022_2024-09-09 08-12_1.webp,EM_Gossip,活動,20240908_LingOrmFanMeet2geTHer_媒體,202409.0,lingorm
bunnytales1221_1794729144812740627_2024-05-26 13-55_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1794729144812740627_2024-05-26 13-55_2.webp,bunnytales1221,活動,20240526_ORM_CHARITY_FASHION_SHOW,202405.0,orm
FiloROSIE_1825184451900662141_2024-08-18 14-54_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/FiloROSIE_1825184451900662141_2024-08-18 14-54_1.webp,FiloROSIE,活動,20240816_LingOrm1stFMinHK接機,202408.0,ling
411xpercent_1816529540098982004_2024-07-25 17-42_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/411xpercent_1816529540098982004_2024-07-25 17-42_1.webp,411xpercent,活動,20240722_三台大樓宣傳,202407.0,orm
SOU_Ch3Official_1829193463235260575_2024-08-29 16-24_3.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SOU_Ch3Official_1829193463235260575_2024-08-29 16-24_3.webp,SOU_Ch3Official,活動,20240829_LingLingMajorFandom,202408.0,ling
SSITAXX_1832757429010153882_2024-09-08 12-26_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SSITAXX_1832757429010153882_2024-09-08 12-26_2.webp,SSITAXX,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,ling
bunnytales1221_1838809230314537133_2024-09-25 05-14_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1838809230314537133_2024-09-25 05-14_1.webp,bunnytales1221,活動,20240925_LingLingMycherieAmour,202409.0,ling
_sPoundK__1823030275447963824_2024-08-12 16-14_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/_sPoundK__1823030275447963824_2024-08-12 16-14_1.webp,_sPoundK_,活動,20240812_三台大樓宣傳,202408.0,ling
thinktoyoon_ty_1823222949173702931_2024-08-13 04-59_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/thinktoyoon_ty_1823222949173702931_2024-08-13 04-59_1.webp,thinktoyoon_ty,活動,20240812_三台大樓宣傳,202408.0,lingorm
TTaeny09_1802546687506092429_2024-06-17 03-39_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/TTaeny09_1802546687506092429_2024-06-17 03-39_2.webp,TTaeny09,活動,20240616_MaybellinexLingOrm,202406.0,orm
LilyRose_38_1800507357346341080_2024-06-11 12-36_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/LilyRose_38_1800507357346341080_2024-06-11 12-36_1.webp,LilyRose_38,活動,20240611_LingOrmOnTheWay_EP3,202406.0,lingorm
JungsJinns_1832731642055762409_2024-09-08 10-44_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/JungsJinns_1832731642055762409_2024-09-08 10-44_1.webp,JungsJinns,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,lingorm
wefoundyouu_1832729804996816924_2024-09-08 10-36_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/wefoundyouu_1832729804996816924_2024-09-08 10-36_1.webp,wefoundyouu,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,lingorm
JungsJinns_1832660633021772251_2024-09-08 06-01_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/JungsJinns_1832660633021772251_2024-09-08 06-01_2.webp,JungsJinns,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,lingorm
AS_AntiS_1824712192127795449_2024-08-17 07-37_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/AS_AntiS_1824712192127795449_2024-08-17 07-37_1.webp,AS_AntiS,活動,20240817_LingOrm1stFMinHK,202408.0,ling
ormkornway_1831919430068269353_2024-09-06 04-56_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/ormkornway_1831919430068269353_2024-09-06 04-56_2.webp,ormkornway,活動,20240906_排練,202409.0,orm
teddybear_t9_1794401646107381978_2024-05-25 16-14_4.webp,/Users/linnianyi/Desktop/Code/backend/static/images/teddybear_t9_1794401646107381978_2024-05-25 16-14_4.webp,teddybear_t9,活動,20240525_RomandMultyxLingOrm,202405.0,lingorm
Koiiz9_1822981710553952640_2024-08-12 13-01_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/Koiiz9_1822981710553952640_2024-08-12 13-01_2.webp,Koiiz9,活動,20240812_三台大樓宣傳,202408.0,ling
bunnytales1221_1802650805516083330_2024-06-17 10-33_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1802650805516083330_2024-06-17 10-33_2.webp,bunnytales1221,活動,20240616_MaybellinexLingOrm,202406.0,orm
